nr	zeichen	deutsche_lautschrift	start	ende	datei
01	क	ka	0.000	0.766	01_ka_क.mp3
02	ख	kha	0.766	1.531	02_kha_ख.mp3
03	ग	ga	1.531	2.297	03_ga_ग.mp3
04	घ	gha	2.297	3.062	04_gha_घ.mp3
05	ङ	nga	3.062	3.828	05_nga_ङ.mp3
06	च	tscha	3.828	4.593	06_tscha_च.mp3
07	छ	tschha	4.593	5.359	07_tschha_छ.mp3
08	ज	dscha	5.359	6.124	08_dscha_ज.mp3
09	झ	dschha	6.124	6.890	09_dschha_झ.mp3
10	ञ	nja	6.890	7.655	10_nja_ञ.mp3
11	ट	ta_retroflex	7.655	8.421	11_ta_retroflex_ट.mp3
12	ठ	tha_retroflex	8.421	9.186	12_tha_retroflex_ठ.mp3
13	ड	da_retroflex	9.186	9.952	13_da_retroflex_ड.mp3
14	ढ	dha_retroflex	9.952	10.717	14_dha_retroflex_ढ.mp3
15	ण	na_retroflex	10.717	11.483	15_na_retroflex_ण.mp3
16	त	ta	11.483	12.248	16_ta_त.mp3
17	थ	tha	12.248	13.014	17_tha_थ.mp3
18	द	da	13.014	13.780	18_da_द.mp3
19	ध	dha	13.780	14.545	19_dha_ध.mp3
20	न	na	14.545	15.311	20_na_न.mp3
21	प	pa	15.311	16.076	21_pa_प.mp3
22	फ	pha	16.076	16.842	22_pha_फ.mp3
23	ब	ba	16.842	17.607	23_ba_ब.mp3
24	भ	bha	17.607	18.373	24_bha_भ.mp3
25	म	ma	18.373	19.138	25_ma_म.mp3
26	य	ja	19.138	19.904	26_ja_य.mp3
27	र	ra	19.904	20.669	27_ra_र.mp3
28	ल	la	20.669	21.435	28_la_ल.mp3
29	व	wa	21.435	22.200	29_wa_व.mp3
30	श	scha	22.200	22.966	30_scha_श.mp3
31	ष	scha_retroflex	22.966	23.731	31_scha_retroflex_ष.mp3
32	स	sa	23.731	24.497	32_sa_स.mp3
33	ह	ha	24.497	25.263	33_ha_ह.mp3
34	क्ष	kscha	25.263	26.028	34_kscha_क्ष.mp3
35	त्र	tra	26.028	26.794	35_tra_त्र.mp3
36	ज्ञ	gya	26.794	27.559	36_gya_ज्ञ.mp3
